Meiran, EuXfpqFSY123KqQWK6eVnXZqXFr7bB7Fun5q5_m11algYP-f, DIAMOND I, 69
L9PROSHKAl9, 8Ikxg60sNzP_RD_WIYzwG09fAP1lhOQcjxqSPPVrbtUYZYNP, DIAMOND I, 25
wiktorek miki, Jzxccfd_fc1NcjB5YNJq7sb3Dcg-1EfwkOWhuz_33H87_-ca, DIAMOND I, 0
IIllIIlllllIIII, 04eDpvk0S_Rn-l3Vwc_JVZ872pERqCCtQrN609_qfgT0gfHk, DIAMOND I, 16
Braníx, pebSe2xcJh14UTuX0BwKnvJhJLZC_9ObXdQmqSrqZcD9VRLE, DIAMOND I, 0
TheySeeMéDraving, -x_Cv2wC9dNxXZQx8tHIYQj8ki9vJnZx8mqZl9p1EmjLNqPA, DIAMOND I, 28
ISOTUHMAISI, z3zlTYAhTZOoPeHqsTI2J3PxZHU31luPMBvsMNvlP_VlZDNp, DIAMOND I, 0
Memcuk, lsZkA04FFM4sgNYRmnM-0kQtzWuGDBppEWw2OOSVU_ZfqUF9, DIAMOND I, 0
UUUUUUUUUUUU, panzkc-2rTP3PO55f3ms18A8_wps0m0gB9dRmPQoEdD1J2v5, DIAMOND I, 0
Rambe, foqrBw8TPpUPPX_dL17OJA4t-G5a9ECvUZrRvh4emRN4dJoX, DIAMOND I, 8
PAFKØ, ezpokijcwnnC-b5OiKEl1Ahk0M5wROXxmHCM5xGYLrJeNlUm, DIAMOND I, 19
way i see things, E1v2mbYdlWU9KNmPAO4XOjqYC7Xw9LwdxJH-Cmx0wzf2_Q9n, DIAMOND I, 100
Criticall, xqLKSA975Olxycz5xo13ScPru-OQZQrg80h_kCRObMfYLrVI, DIAMOND I, 0
friendly lizard, ezMf7QHsOYcr0TEHb8SmKE5IEysSQLLKPSW-Zk1hR4a16vGL, DIAMOND I, 50
King PsYcraw, cJhdaBZKQH7uqYNS-ElzJz8eRh-VsdwJrZ60GqLx7MohOE54, DIAMOND I, 50
BURNINGHTEMJUICE, jMKxidsIP5qSsLwpJOsn0QZu6KhOmFbbE0xeUiE8u_uDRv2j, DIAMOND I, 42
Sir Angry Yordle, DCpPQVgT9Pvthvu_eEryrxb__ugrLosCy0AlVer32SWVZzDG, DIAMOND I, 40
Cow1337killr, 7THaWTKUIwauCoKWgtkWnmi4YemXecoG_HclNsB0rO9sYBcA, DIAMOND I, 100
Erkin KORAY, qWlZte1JltVk0bUMK6_c2t1ABEdWAcnJIpa27w0P5bl-eHy6, DIAMOND I, 0
GripexMazdaMx5, Hx20GcGyxZbPXw_xB5qkygdaU0Tz-lTrFFdllO8iHdUGfbYg, DIAMOND I, 29
SNAKESNAKESNAKE, tPpVK4YFS5pvu13W96GyuR62nzdHWJEaOJGFuyaP5e5JGXww, DIAMOND I, 25
Nathan Expl0sion, fWJPrAey9uMNUzFr3ghss0qQQs6jxSlwDDlDuvXUN9MvnRSs, DIAMOND I, 75
Kaiser Walzer, DWp_41VZXYvaAvTylP0KBPZbUYgZQ3LQbgk7TDp9Rkqstw8M, DIAMOND I, 0
Positivity bot, RYHBvjllOBr4hLMj9McOHTjfw_IEr5bxHb3g71SBQFIjaQq1, DIAMOND I, 36
pepega adc1, B9GI-fB_uDIZ8l4uib6k4fnTUc5L6tvbFYL4d7H4Je4barIo, DIAMOND I, 28
TowerUP, RmMeeIwfnalCTWyK1wSM9v5mbEqvLANS2389SvAZ6oHrBILu, DIAMOND I, 75
Nikoła, XCCa1-DyGHQeUOCe-6MWHec8r9CcaSuT-qCTxV6ixVjd3d63, DIAMOND I, 9
BetterBlameJung, t3VSQkm4PYclJRnN2l7fz3VeeF-Mq_PzwsodlITu-vQCENPE, DIAMOND I, 0
Depo, _7EvZ8PDQo5jBGNK_8NdwYjTtniC5qkZNsR78nsclSeEbp1i, DIAMOND I, 0
dont overextend, Ul87yrp3yjuCbHb_Lz7TbzyLAxP_xF9UbVM7KEA5wt2aYJZD, DIAMOND I, 0
vermuthdx, uWu7EZeOu5maszdpWUBAaYg9LiFIoSnyt8mql0YelcKNVXSz, DIAMOND I, 85
Curieux, NT2bm--fDQijNa_lLuYpMw3g0I8I5PKPO9W8mXZgzuFn8Dtk, DIAMOND I, 39
RekSai Warrior, Jx6vSn_y-YOPrmkKl1SU5BcJ3hCAO7EyZejY474yU9ydwuzB, DIAMOND I, 0
LachtanH0ralka, bqHCcPxnSrbuRk1BdBzeXE7EdrUXsjXxklPD51-cmUh4U6N4, DIAMOND I, 35
ThePainGameGG, 6jG7qnYvOX1vJtGXumX3Mtop8eb2I7m0c2XCmn6SzqZeO7o8, DIAMOND I, 50
bek4a, ygku1LJi4KaMd1SXKoIKZ5KyTfUvLhY0GhVID-CO5yXNGpP8, DIAMOND I, 50
Troxeno, JSZI6zhQwaMi25uwblSv69VsBCCoj8rCgYG3bh4X19Hx7tA-, DIAMOND I, 5
BiiShi, -P_Uth8sTMU_sC7sKiKtVrKBKJvTEM7WryLM-8mNui5hguIc, DIAMOND I, 39
IWillBecomeRank1, ANrWOWmHXoHgRz9F7sI8ZEqbx8H7ZKQdt3pPiQB8dQprSl_-, DIAMOND I, 36
HaveMerzyOnMe, MVyQ0iY2hLEC7IPK2daYWDOxrK1IGTc-2bAVyKpY59xGWHMn, DIAMOND I, 0
EU Tarzan, KzlpgxrPATFsYFh7JopfuYg0Y4n21KPYjOnYVphHTP5jCvQ8, DIAMOND I, 0
ll5 dmw 5555, jwNACO9FA95TA_ZPKWDH3asR6yoIIXy2xv6Y7Nyoff-MR-iO, DIAMOND I, 0
3250, DKkLh7dF2EhgEGwL3Z4YK2KN4_zoaJ0Pv-m2DGV-otq0YtZm, DIAMOND I, 52
kasadei, SEBXP3M2rFWSczmuluwYU-8TOC64mXIk6n_2PzfhANGCcvt_, DIAMOND I, 67
ȚHÇ , lJBtlW6Dv4bvqPAYC0RnhUGHqZGtjcZwrllelX1MEwGRrwtJ, DIAMOND I, 0
IZI Bloody, YyfvAobqhDgpEx91RO1nfyDCWz2pmJ9NTgFG7K_IJGUz2xUL, DIAMOND I, 76
Reflect1, xAurZUynidNnLMHd11KCHaFwKVB3rIkQ-wdTR2J0O4Qpg4ab, DIAMOND I, 39
NicramUrgod, tpHoN8GgH2EnUaJvQzijDNP8ez5Hzdz6Dgm8Xj1g5n5oyMfr, DIAMOND I, 50
GRF Tarzan, -UpVfZRFkW5SdenQXNmv-1fFj0MmkHQE0dPOB-_X64uhupsS, DIAMOND I, 0
secret οf mana, qTvWRpbymLfXfqUAqu2yM0i3OyKU_U76eI1Dcc7jVgkcYGQn, DIAMOND I, 0
THE RlGHT PATH, vPnO67JiUSJhLnDz5oXl7oAp5VbJ3-dryalw9YsAVRF9tKID, DIAMOND I, 50
Eden Fox Mid, CCOgzRe0WehehuRUvv9TU-I7SQCUTZeUk2BHbDeVs9OUeZ4k, DIAMOND I, 18
butsmokes, eZogM3tBg_hoH79nJmT0Leau1shZD8Rc1gArhJP6YI16Is1x, DIAMOND I, 31
KASTRAVEC, SRM3K7Qa64CQPlCRcCsdIp1lVtH4F5_b_sKGTTg1nCzVQbej, DIAMOND I, 31
